professional_id,position_ids,shift_start_time,shift_end_time,name,report_grouping_region_code,facility_rate_cents_per_hour,professional_rate_cents_per_hour,canceled_reason
929993,CNA,8/27/20 12:00,8/28/20 0:30,Facility 5,Florida,3143,2200,
576647,RN,8/28/20 12:00,8/29/20 0:30,Facility 6,Florida,6875,5500,
534014,CNA,8/31/20 0:00,8/31/20 12:30,Facility 5,Florida,3457,2420,21
534014,CNA,9/3/20 12:00,9/4/20 0:30,Facility 5,Florida,3143,2200,7
576647,RN,9/3/20 12:00,9/4/20 0:30,Facility 6,Florida,6875,5500,
576647,RN,9/4/20 12:00,9/5/20 0:30,Facility 6,Florida,6875,5500,21
576647,RN,9/4/20 12:00,9/5/20 0:30,Facility 6,Florida,6875,5500,20
951713,CNA,9/7/20 12:00,9/8/20 0:30,Facility 5,Florida,3143,2200,
201459,RN,9/7/20 12:00,9/8/20 0:30,Facility 6,Florida,7906,6325,
951713,CNA,9/9/20 0:00,9/9/20 12:30,Facility 5,Florida,3300,2310,
208750,CNA,9/9/20 12:00,9/10/20 0:30,Facility 5,Florida,3143,2200,
951713,CNA,9/10/20 0:00,9/10/20 12:30,Facility 5,Florida,3300,2310,2
576647,RN,9/10/20 12:00,9/11/20 0:30,Facility 6,Florida,6875,5500,
951713,CNA,9/11/20 0:00,9/11/20 12:30,Facility 5,Florida,3300,2310,21
576647,RN,9/11/20 12:00,9/12/20 0:30,Facility 6,Florida,6875,5500,
951713,CNA,9/12/20 0:00,9/12/20 12:30,Facility 5,Florida,3457,2420,21
208750,CNA,9/13/20 12:00,9/14/20 0:30,Facility 5,Florida,3300,2310,9
951713,CNA,9/15/20 0:00,9/15/20 12:30,Facility 5,Florida,3300,2310,
744401,CNA,9/15/20 12:00,9/16/20 0:30,Facility 5,Florida,3143,2200,
576647,RN,9/15/20 12:00,9/16/20 0:30,Facility 6,Florida,6875,5500,
951713,CNA,9/16/20 0:00,9/16/20 12:30,Facility 5,Florida,3300,2310,
744401,CNA,9/16/20 12:00,9/17/20 0:30,Facility 5,Florida,3143,2200,
576647,RN,9/16/20 12:00,9/17/20 0:30,Facility 6,Florida,6875,5500,
951713,CNA,9/17/20 0:00,9/17/20 12:30,Facility 5,Florida,3300,2310,2
576647,RN,9/17/20 12:00,9/18/20 0:30,Facility 6,Florida,6875,5500,
916937,CNA,9/18/20 12:00,9/19/20 0:30,Facility 5,Florida,3143,2200,
951713,CNA,9/19/20 0:00,9/19/20 12:30,Facility 5,Florida,3457,2420,21
549411,CNA,9/19/20 12:00,9/20/20 0:30,Facility 5,Florida,3300,2310,
349880,RN,9/21/20 11:45,9/22/20 0:15,Facility 6,Florida,6875,5500,20
403720,CNA,9/22/20 11:45,9/23/20 0:15,Facility 5,Florida,3143,2200,20
744401,CNA,9/22/20 12:00,9/23/20 0:30,Facility 5,Florida,3143,2200,
704004,CNA,9/22/20 12:00,9/23/20 0:30,Facility 5,Florida,3143,2200,
576647,RN,9/22/20 12:00,9/23/20 0:30,Facility 6,Florida,6875,5500,
916937,CNA,9/23/20 12:00,9/24/20 0:30,Facility 5,Florida,3143,2200,
744401,CNA,9/23/20 12:00,9/24/20 0:30,Facility 5,Florida,3143,2200,
744401,CNA,9/25/20 12:00,9/26/20 0:30,Facility 5,Florida,3143,2200,
916937,CNA,9/25/20 12:00,9/26/20 0:30,Facility 5,Florida,3143,2200,
704004,CNA,9/25/20 23:45,9/26/20 12:15,Facility 5,Florida,3457,2420,
804165,CNA,9/26/20 0:00,9/26/20 12:30,Facility 5,Florida,3457,2420,
315176,RN,9/26/20 0:00,9/26/20 12:30,Facility 6,Florida,7563,6050,
744401,CNA,9/26/20 12:00,9/27/20 0:30,Facility 5,Florida,3300,2310,
315176,RN,9/27/20 0:00,9/27/20 12:30,Facility 6,Florida,7563,6050,
744401,CNA,9/27/20 12:00,9/28/20 0:30,Facility 5,Florida,3300,2310,
731183,CNA,9/28/20 0:00,9/28/20 12:30,Facility 5,Florida,3457,2420,7
731183,CNA,9/28/20 0:00,9/28/20 12:30,Facility 5,Florida,3457,2420,4
916937,CNA,9/28/20 12:00,9/29/20 0:30,Facility 5,Florida,3143,2200,20
991869,RN,9/28/20 12:00,9/29/20 0:30,Facility 6,Florida,6875,5500,20
916937,CNA,9/28/20 12:00,9/29/20 0:30,Facility 5,Florida,3143,2200,
549411,CNA,9/28/20 12:00,9/29/20 0:30,Facility 5,Florida,3143,2200,
804165,CNA,9/29/20 0:00,9/29/20 12:30,Facility 5,Florida,3300,2310,
315176,RN,9/29/20 0:00,9/29/20 12:30,Facility 6,Florida,7219,5775,
549411,CNA,9/29/20 12:00,9/30/20 0:30,Facility 5,Florida,3143,2200,
804165,CNA,9/30/20 0:00,9/30/20 12:30,Facility 5,Florida,3300,2310,
315176,RN,9/30/20 0:00,9/30/20 12:30,Facility 6,Florida,7219,5775,
916937,CNA,9/30/20 12:00,10/1/20 0:30,Facility 5,Florida,3143,2200,
804165,CNA,10/1/20 0:00,10/1/20 12:30,Facility 5,Florida,3300,2310,
804165,CNA,10/2/20 0:00,10/2/20 12:30,Facility 5,Florida,3300,2310,21
804165,CNA,10/2/20 0:00,10/2/20 12:30,Facility 5,Florida,3300,2310,
201459,RN,10/2/20 12:00,10/3/20 0:30,Facility 6,Florida,6875,5500,20
744401,CNA,10/2/20 12:00,10/3/20 0:30,Facility 5,Florida,3143,2200,
549411,CNA,10/2/20 12:00,10/3/20 0:30,Facility 5,Florida,3143,2200,
991869,RN,10/2/20 12:00,10/3/20 0:30,Facility 6,Florida,6875,5500,
804165,CNA,10/3/20 0:00,10/3/20 12:30,Facility 5,Florida,3457,2420,
549411,CNA,10/3/20 12:00,10/4/20 0:30,Facility 5,Florida,3300,2310,
804165,CNA,10/4/20 0:00,10/4/20 12:30,Facility 5,Florida,3457,2420,
307827,RN,10/6/20 0:00,10/6/20 12:30,Facility 6,Florida,7219,5775,
744401,CNA,10/6/20 12:00,10/7/20 0:30,Facility 5,Florida,3143,2200,21
916937,CNA,10/8/20 12:00,10/9/20 0:30,Facility 5,Florida,3143,2200,4
744401,CNA,10/8/20 12:00,10/9/20 0:30,Facility 5,Florida,3143,2200,
744401,CNA,10/9/20 12:00,10/10/20 0:30,Facility 5,Florida,3143,2200,
744401,CNA,10/12/20 12:00,10/13/20 0:30,Facility 5,Florida,3143,2200,
229973,RN,10/12/20 12:00,10/13/20 0:30,Facility 6,Florida,6875,5500,
307827,RN,10/13/20 0:00,10/13/20 12:30,Facility 6,Florida,7219,5775,
744401,CNA,10/15/20 0:00,10/15/20 12:30,Facility 5,Florida,3300,2310,
315176,RN,10/15/20 0:00,10/15/20 12:30,Facility 6,Florida,7219,5775,
576647,RN,10/15/20 12:00,10/16/20 0:30,Facility 6,Florida,6875,5500,
229973,RN,10/15/20 12:00,10/16/20 0:30,Facility 6,Florida,6875,5500,
744401,CNA,10/16/20 0:00,10/16/20 12:30,Facility 5,Florida,3300,2310,
315176,RN,10/16/20 0:00,10/16/20 12:30,Facility 6,Florida,7219,5775,
652474,CNA,10/16/20 12:00,10/17/20 0:30,Facility 5,Florida,3143,2200,
229973,RN,10/17/20 12:00,10/18/20 0:30,Facility 6,Florida,7219,5775,
229973,RN,10/21/20 12:00,10/22/20 0:30,Facility 6,Florida,6875,5500,
744401,CNA,10/22/20 0:00,10/22/20 12:30,Facility 5,Florida,3300,2310,
576647,RN,10/22/20 12:00,10/23/20 0:30,Facility 6,Florida,6875,5500,
229973,RN,10/22/20 12:00,10/23/20 0:30,Facility 6,Florida,6875,5500,
744401,CNA,10/23/20 0:00,10/23/20 12:30,Facility 5,Florida,3300,2310,
315176,RN,10/23/20 0:00,10/23/20 12:30,Facility 6,Florida,7219,5775,
455103,CNA,10/23/20 12:00,10/24/20 0:30,Facility 5,Florida,3143,2200,20
652474,CNA,10/23/20 12:00,10/24/20 0:30,Facility 5,Florida,3143,2200,
576647,RN,10/23/20 12:00,10/24/20 0:30,Facility 6,Florida,6875,5500,
229973,RN,10/23/20 12:00,10/24/20 0:30,Facility 6,Florida,6875,5500,
744401,CNA,10/24/20 0:00,10/24/20 12:30,Facility 5,Florida,3457,2420,
315176,RN,10/24/20 0:00,10/24/20 12:30,Facility 6,Florida,7563,6050,
652474,CNA,10/25/20 0:00,10/25/20 12:30,Facility 5,Florida,3457,2420,
744401,CNA,10/25/20 0:00,10/25/20 12:30,Facility 5,Florida,3457,2420,
744401,CNA,10/25/20 12:30,10/25/20 16:00,Facility 5,Florida,3300,2310,20
744401,CNA,10/26/20 0:00,10/26/20 12:30,Facility 5,Florida,3457,2420,
744401,CNA,10/27/20 0:00,10/27/20 12:30,Facility 5,Florida,3300,2310,
652474,CNA,10/27/20 12:00,10/28/20 0:30,Facility 5,Florida,3143,2200,
744401,CNA,10/28/20 0:00,10/28/20 12:30,Facility 5,Florida,3300,2310,
315176,RN,10/28/20 0:00,10/28/20 12:30,Facility 6,Florida,12594,10075,
229973,RN,10/28/20 12:00,10/29/20 0:30,Facility 6,Florida,12188,9750,21
781898,CNA,10/29/20 0:00,10/29/20 12:30,Facility 5,Florida,3300,2310,
307827,RN,10/29/20 0:00,10/29/20 12:30,Facility 6,Florida,12594,10075,
315176,RN,10/29/20 0:00,10/29/20 12:30,Facility 6,Florida,12594,10075,
652474,CNA,10/29/20 12:00,10/30/20 0:30,Facility 5,Florida,3143,2200,21
229973,RN,10/29/20 12:00,10/30/20 0:30,Facility 6,Florida,12188,9750,21
229973,RN,10/29/20 12:00,10/30/20 0:30,Facility 6,Florida,12188,9750,
576647,RN,10/29/20 12:00,10/30/20 0:30,Facility 6,Florida,12188,9750,
274323,RN,10/29/20 12:00,10/30/20 0:30,Facility 6,Florida,13125,10500,
315176,RN,10/30/20 0:00,10/30/20 12:30,Facility 6,Florida,12594,10075,
229973,RN,10/30/20 12:00,10/31/20 0:30,Facility 6,Florida,12188,9750,21
315176,RN,10/31/20 0:00,10/31/20 12:30,Facility 6,Florida,13000,10400,
652474,CNA,10/31/20 12:00,11/1/20 0:30,Facility 5,Florida,3300,2310,
652474,CNA,11/1/20 13:00,11/2/20 1:30,Facility 5,Florida,3300,2310,
744792,RN,11/1/20 13:00,11/2/20 1:30,Facility 6,Florida,12594,10075,
781898,CNA,11/2/20 1:00,11/2/20 13:30,Facility 5,Florida,3457,2420,
315176,RN,11/2/20 1:00,11/2/20 13:30,Facility 6,Florida,13000,10400,
652474,CNA,11/2/20 13:00,11/3/20 1:30,Facility 5,Florida,3143,2200,21
229973,RN,11/2/20 13:00,11/3/20 1:30,Facility 6,Florida,12188,9750,21
744792,RN,11/2/20 13:00,11/3/20 1:30,Facility 6,Florida,12188,9750,
274323,RN,11/2/20 13:00,11/3/20 1:30,Facility 6,Florida,13125,10500,
781898,CNA,11/3/20 1:00,11/3/20 13:30,Facility 5,Florida,3300,2310,21
307827,RN,11/3/20 1:00,11/3/20 13:30,Facility 6,Florida,12594,10075,
315176,RN,11/3/20 1:00,11/3/20 13:30,Facility 6,Florida,12594,10075,
744792,RN,11/3/20 13:00,11/4/20 1:30,Facility 6,Florida,12188,9750,21
852786,RN,11/3/20 13:00,11/4/20 1:30,Facility 6,Florida,13125,10500,20
213636,CNA,11/3/20 13:00,11/4/20 1:30,Facility 5,Florida,3143,2200,
448740,RN,11/3/20 13:00,11/4/20 1:30,Facility 6,Florida,12188,9750,
744792,RN,11/3/20 13:00,11/4/20 1:30,Facility 6,Florida,12188,9750,
852786,RN,11/3/20 13:00,11/4/20 1:30,Facility 6,Florida,12188,9750,
781898,CNA,11/4/20 1:00,11/4/20 13:30,Facility 5,Florida,3300,2310,
315176,RN,11/4/20 1:00,11/4/20 13:30,Facility 6,Florida,12594,10075,
852786,RN,11/4/20 13:00,11/5/20 1:30,Facility 6,Florida,13125,10500,20
448740,RN,11/4/20 13:00,11/5/20 1:30,Facility 6,Florida,12188,9750,
744792,RN,11/4/20 13:00,11/5/20 1:30,Facility 6,Florida,12188,9750,
852786,RN,11/4/20 13:00,11/5/20 1:30,Facility 6,Florida,12188,9750,
744401,CNA,11/5/20 1:00,11/5/20 13:30,Facility 5,Florida,3300,2310,21
315176,RN,11/5/20 1:00,11/5/20 13:30,Facility 6,Florida,12594,10075,
652474,CNA,11/5/20 13:00,11/6/20 1:30,Facility 5,Florida,3143,2200,
744792,RN,11/5/20 13:00,11/6/20 1:30,Facility 6,Florida,12188,9750,
744401,CNA,11/6/20 1:00,11/6/20 13:30,Facility 5,Florida,3300,2310,21
744792,RN,11/6/20 13:00,11/7/20 1:30,Facility 6,Florida,12188,9750,
652474,CNA,11/7/20 1:00,11/7/20 13:30,Facility 5,Florida,3457,2420,
781898,CNA,11/8/20 1:00,11/8/20 13:30,Facility 5,Florida,3457,2420,7
652474,CNA,11/8/20 1:00,11/8/20 13:30,Facility 5,Florida,3457,2420,
744792,RN,11/8/20 13:00,11/9/20 1:30,Facility 6,Florida,12594,10075,7
652474,CNA,11/9/20 1:00,11/9/20 13:30,Facility 5,Florida,3457,2420,
781898,CNA,11/9/20 1:00,11/9/20 13:30,Facility 5,Florida,3457,2420,
341626,CNA,11/9/20 1:00,11/9/20 13:30,Facility 5,Florida,3457,2420,
852786,RN,11/9/20 1:00,11/9/20 13:30,Facility 6,Florida,13000,10400,
307827,RN,11/9/20 1:00,11/9/20 13:30,Facility 6,Florida,13000,10400,
600530,CNA,11/9/20 13:00,11/10/20 1:30,Facility 5,Florida,3143,2200,21
744792,RN,11/9/20 13:00,11/10/20 1:30,Facility 6,Florida,12188,9750,
315176,RN,11/10/20 1:00,11/10/20 13:30,Facility 6,Florida,12594,10075,
600530,CNA,11/10/20 13:00,11/11/20 1:30,Facility 5,Florida,3143,2200,21
744792,RN,11/10/20 13:00,11/11/20 1:30,Facility 6,Florida,12188,9750,
781898,CNA,11/11/20 1:00,11/11/20 13:30,Facility 5,Florida,3300,2310,
315176,RN,11/11/20 1:00,11/11/20 13:30,Facility 6,Florida,12594,10075,
744792,RN,11/11/20 13:00,11/12/20 1:30,Facility 6,Florida,12188,9750,
744401,CNA,11/12/20 1:00,11/12/20 13:30,Facility 5,Florida,3300,2310,
315176,RN,11/12/20 1:00,11/12/20 13:30,Facility 6,Florida,12594,10075,
652474,CNA,11/12/20 13:00,11/13/20 1:30,Facility 5,Florida,3143,2200,21
744792,RN,11/12/20 13:00,11/13/20 1:30,Facility 6,Florida,12188,9750,
490904,RN,11/12/20 13:00,11/13/20 1:30,Facility 6,Florida,13125,10500,
991869,RN,11/12/20 13:00,11/13/20 1:30,Facility 6,Florida,12188,9750,
744401,CNA,11/13/20 1:00,11/13/20 13:30,Facility 5,Florida,3300,2310,4
852786,RN,11/13/20 1:00,11/13/20 13:30,Facility 6,Florida,12594,10075,
315176,RN,11/13/20 1:00,11/13/20 13:30,Facility 6,Florida,12594,10075,
652474,CNA,11/13/20 13:00,11/14/20 1:30,Facility 5,Florida,3143,2200,21
490904,RN,11/13/20 13:00,11/14/20 1:30,Facility 6,Florida,13125,10500,
744792,RN,11/13/20 13:00,11/14/20 1:30,Facility 6,Florida,12188,9750,
781898,CNA,11/14/20 1:00,11/14/20 13:30,Facility 5,Florida,3457,2420,
315176,RN,11/14/20 1:00,11/14/20 13:30,Facility 6,Florida,13000,10400,
652474,CNA,11/14/20 13:00,11/15/20 1:30,Facility 5,Florida,3300,2310,21
744401,CNA,11/14/20 13:00,11/15/20 1:30,Facility 5,Florida,3300,2310,
652474,CNA,11/15/20 13:00,11/16/20 1:30,Facility 5,Florida,3300,2310,21
744792,RN,11/15/20 13:00,11/16/20 1:30,Facility 6,Florida,12594,10075,21
214212,RN,11/15/20 13:00,11/16/20 1:30,Facility 6,Florida,13563,10850,20
315176,RN,11/16/20 1:00,11/16/20 13:30,Facility 6,Florida,13000,10400,
744792,RN,11/16/20 13:00,11/17/20 1:30,Facility 6,Florida,12188,9750,
744792,RN,11/17/20 13:00,11/18/20 1:30,Facility 6,Florida,12188,9750,21
655801,CNA,11/17/20 13:00,11/18/20 1:30,Facility 5,Florida,3143,2200,
229973,RN,11/17/20 13:00,11/18/20 1:30,Facility 6,Florida,12188,9750,
490904,RN,11/17/20 19:00,11/18/20 7:30,Facility 6,Florida,13125,10500,21
852786,RN,11/18/20 1:00,11/18/20 13:30,Facility 6,Florida,12594,10075,
744792,RN,11/18/20 13:00,11/19/20 1:30,Facility 6,Florida,12188,9750,21
490904,RN,11/18/20 19:00,11/19/20 7:30,Facility 6,Florida,13125,10500,3
315176,RN,11/19/20 1:00,11/19/20 13:30,Facility 6,Florida,12594,10075,4
744792,RN,11/19/20 13:00,11/20/20 1:30,Facility 6,Florida,12188,9750,21
723451,CNA,11/19/20 13:00,11/20/20 1:30,Facility 5,Florida,3143,2200,
315176,RN,11/20/20 1:00,11/20/20 13:30,Facility 6,Florida,12594,10075,4
744401,CNA,11/20/20 1:00,11/20/20 13:30,Facility 5,Florida,3300,2310,
744792,RN,11/20/20 13:00,11/21/20 1:30,Facility 6,Florida,12188,9750,21
576647,RN,11/20/20 13:00,11/21/20 1:30,Facility 6,Florida,12188,9750,4
